ID,Glider,Model,Manufacturer,Competition Class,Kind,Double Seater,Winglets,Exclude Live,2016,2017,2018,2019,2020,2021
263,ASW 19,ASW 19,Alexander Schleicher,Club,GL,,,,100,100,100,100,100,100
264,Cirrus,Cirrus,Schempp-Hirth,Club,GL,,,,100,100,100,100,100,100
265,Cirrus,Cirrus VTC 17.74m,Schempp-Hirth,Club,GL,,,,100,100,100,100,100,100
266,D 37,D 37,Akaflieg Darmstadt,Club,GL,,,,100,100,100,100,100,100
267,DG 100,DG 100,DG Flugzeugbau,Club,GL,,,,100,100,100,100,100,100
268,Elfe 17m,Elfe 17m,Neukom,Club,GL,,,,100,100,100,100,100,100
269,Hornet,Hornet,Glasflügel,Club,GL,,,,100,100,100,100,100,100
270,LS 1-e/f,LS 1-e,Rolladen-Schneider,Club,GL,,,,100,100,100,100,100,100
271,LS 1-e/f,LS 1-f,Rolladen-Schneider,Club,GL,,,,100,100,100,100,100,100
272,Phöbus B3/C,Phöbus B3,Bölkow,Club,GL,,,,100,100,100,100,100,100
273,Phöbus B3/C,Phöbus C,Bölkow,Club,GL,,,,100,100,100,100,100,100
274,SZD-59 Acro 13.2m,SZD-59 13.2m,Allstar PZL Glider,Club,GL,,,,100,100,100,100,100,100
275,Std. Astir,Std. Astir,Grob Aircraft,Club,GL,,,,100,100,100,100,100,100
276,Std. Cirrus 16m,Std. Cirrus 16m,Schempp-Hirth,Club,GL,,,,100,100,100,100,100,100
277,Std. Cirrus,Std. Cirrus WL,Schempp-Hirth,Club,GL,,x,,100,100,100,100,100,100
278,SZD-48 Jantar Std. 2,SZD-48 Jantar Std. 2,PZL Bielsko,Club,GL,,,,100,100,100,100,100,100
279,D 43 18m,D 43 18m,Akaflieg Darmstadt,Double,GL,x,,,99,99,99,99,99,99
280,Taurus,Taurus,Pipistrel,Double,MG,x,,,99,99,99,99,99,99
281,Twin 3 20m,Twin 3 20m,Grob Aircraft,Double,GL,x,,,99,99,99,99,99,99
